Thickness_m,Fiber_Curvature,PressureDrop_Pa,Capture_Efficiency
0.020408163265306124,0.75,295.41567106689126,0.99
0.020408163265306124,1.0,369.2400590784095,0.99
0.02142857142857143,0.0,193.88979346987742,0.99
0.02142857142857143,0.25,221.58200574562545,0.99
0.02142857142857143,0.5,258.5024945728757,0.99
0.02142857142857143,0.75,310.18645462023585,0.99
0.02142857142857143,1.0,387.70206203232993,0.99
0.022448979591836737,0.0,203.12264077796686,0.99
0.022448979591836737,0.25,232.1335298287505,0.99
0.022448979591836737,0.5,270.81213717158414,0.99
0.022448979591836737,0.75,324.95723817358044,0.99
0.022448979591836737,1.0,406.1640649862505,0.99
0.023469387755102045,0.0,212.35548808605625,0.99
0.023469387755102045,0.25,242.6850539118755,0.99
0.023469387755102045,0.5,283.1217797702925,0.99
0.023469387755102045,0.75,339.72802172692496,0.99
0.023469387755102045,1.0,424.6260679401709,0.99
0.02448979591836735,0.0,221.58833539414567,0.99
0.02448979591836735,0.25,253.23657799500057,0.99
0.02448979591836735,0.5,295.4314223690009,0.99
0.02448979591836735,0.75,354.4988052802696,0.99
0.02448979591836735,1.0,443.08807089409146,0.99
0.025510204081632654,0.0,230.82118270223506,0.99
0.025510204081632654,0.25,263.7881020781256,0.99
0.025510204081632654,0.5,307.7410649677093,0.99
0.025510204081632654,0.75,369.26958883361414,0.99
0.025510204081632654,1.0,461.5500738480119,0.99
0.02653061224489796,0.0,240.05403001032445,0.99
0.02653061224489796,0.25,274.3396261612506,0.99
0.02653061224489796,0.5,320.0507075664176,0.99
0.02653061224489796,0.75,384.04037238695867,0.99
0.02653061224489796,1.0,480.0120768019323,0.99
0.02755102040816327,0.0,249.28687731841384,0.99
0.02755102040816327,0.25,284.8911502443756,0.99
0.02755102040816327,0.5,332.36035016512596,0.99
0.02755102040816327,0.75,398.81115594030325,0.99
0.02755102040816327,1.0,498.47407975585276,0.99
0.028571428571428574,0.0,258.51972462650326,0.99
0.028571428571428574,0.25,295.44267432750064,0.99
0.028571428571428574,0.5,344.6699927638344,0.99
0.028571428571428574,0.75,413.58193949364784,0.99
0.028571428571428574,1.0,516.9360827097734,0.99
0.02959183673469388,0.0,267.75257193459265,0.99
0.02959183673469388,0.25,305.9941984106256,0.99
0.02959183673469388,0.5,356.9796353625427,0.99
0.02959183673469388,0.75,428.3527230469923,0.99
0.02959183673469388,1.0,535.3980856636937,0.99
0.030612244897959186,0.0,276.98541924268204,0.99
0.030612244897959186,0.25,316.54572249375065,0.99
0.030612244897959186,0.5,369.28927796125106,0.99
0.030612244897959186,0.75,443.1235066003369,0.99
0.030612244897959186,1.0,553.8600886176142,0.99
