Thickness_m,Fiber_Orientation,Air_Velocity,Pressure_Drop_Pa,Capture_Efficiency
0.0024848484848484847,0.1,2.0,19.134549064351233,0.98
0.0024848484848484847,0.1,2.5,23.918186330439042,0.98
0.0024848484848484847,0.1,3.0,28.701823596526847,0.98
0.0024848484848484847,0.1,3.5,33.48546086261466,0.98
0.0024848484848484847,0.18888888888888888,2.0,20.28523982970348,0.98
0.0024848484848484847,0.18888888888888888,2.5,25.356549787129353,0.98
0.0024848484848484847,0.18888888888888888,3.0,30.42785974455522,0.98
0.0024848484848484847,0.18888888888888888,3.5,35.499169701981096,0.98
0.0024848484848484847,0.2777777777777778,2.0,21.583183672282285,0.98
0.0024848484848484847,0.2777777777777778,2.5,26.978979590352857,0.98
0.0024848484848484847,0.2777777777777778,3.0,32.374775508423426,0.98
0.0024848484848484847,0.2777777777777778,3.5,37.770571426494,0.98
0.0024848484848484847,0.3666666666666667,2.0,23.058578608437614,0.98
0.0024848484848484847,0.3666666666666667,2.5,28.82322326054702,0.98
0.0024848484848484847,0.3666666666666667,3.0,34.58786791265642,0.98
0.0024848484848484847,0.3666666666666667,3.5,40.35251256476583,0.98
0.0024848484848484847,0.4555555555555556,2.0,24.75048568784238,0.98
0.0024848484848484847,0.4555555555555556,2.5,30.938107109802978,0.98
0.0024848484848484847,0.4555555555555556,3.0,37.12572853176357,0.98
0.0024848484848484847,0.4555555555555556,3.5,43.31334995372417,0.98
0.0024848484848484847,0.5444444444444445,2.0,26.710338063401508,0.98
0.0024848484848484847,0.5444444444444445,2.5,33.387922579251885,0.98
0.0024848484848484847,0.5444444444444445,3.0,40.06550709510226,0.98
0.0024848484848484847,0.5444444444444445,3.5,46.743091610952646,0.98
0.0024848484848484847,0.6333333333333333,2.0,29.00726060996941,0.98
0.0024848484848484847,0.6333333333333333,2.5,36.25907576246176,0.98
0.0024848484848484847,0.6333333333333333,3.0,43.51089091495411,0.98
0.0024848484848484847,0.6333333333333333,3.5,50.762706067446466,0.98
0.0024848484848484847,0.7222222222222222,2.0,31.736392503180692,0.98
0.0024848484848484847,0.7222222222222222,2.5,39.67049062897587,0.98
0.0024848484848484847,0.7222222222222222,3.0,47.60458875477104,0.98
0.0024848484848484847,0.7222222222222222,3.5,55.53868688056622,0.98
0.0024848484848484847,0.8111111111111111,2.0,35.032395878819344,0.98
0.0024848484848484847,0.8111111111111111,2.5,43.790494848524176,0.98
0.0024848484848484847,0.8111111111111111,3.0,52.54859381822901,0.98
0.0024848484848484847,0.8111111111111111,3.5,61.30669278793385,0.98
0.0024848484848484847,0.9,2.0,39.092357736425534,0.98
0.0024848484848484847,0.9,2.5,48.86544717053192,0.98
0.0024848484848484847,0.9,3.0,58.6385366046383,0.98
0.0024848484848484847,0.9,3.5,68.41162603874469,0.98
0.00297979797979798,0.1,2.0,22.945902333266723,0.98
0.00297979797979798,0.1,2.5,28.682377916583405,0.98
0.00297979797979798,0.1,3.0,34.41885349990008,0.98
0.00297979797979798,0.1,3.5,40.15532908321676,0.98
0.00297979797979798,0.18888888888888888,2.0,24.32579573074198,0.98
0.00297979797979798,0.18888888888888888,2.5,30.407244663427477,0.98
0.00297979797979798,0.18888888888888888,3.0,36.48869359611297,0.98
0.00297979797979798,0.18888888888888888,3.5,42.57014252879846,0.98
0.00297979797979798,0.2777777777777778,2.0,25.88227310294014,0.98
0.00297979797979798,0.2777777777777778,2.5,32.35284137867517,0.98
0.00297979797979798,0.2777777777777778,3.0,38.823409654410206,0.98
0.00297979797979798,0.2777777777777778,3.5,45.293977930145246,0.98
0.00297979797979798,0.3666666666666667,2.0,27.65154751824836,0.98
0.00297979797979798,0.3666666666666667,2.5,34.56443439781045,0.98
0.00297979797979798,0.3666666666666667,3.0,41.47732127737254,0.98
0.00297979797979798,0.3666666666666667,3.5,48.39020815693463,0.98
0.00297979797979798,0.4555555555555556,2.0,29.680460479323184,0.98
0.00297979797979798,0.4555555555555556,2.5,37.10057559915398,0.98
0.00297979797979798,0.4555555555555556,3.0,44.52069071898477,0.98
0.00297979797979798,0.4555555555555556,3.5,51.940805838815564,0.98
0.00297979797979798,0.5444444444444445,2.0,32.030689954079044,0.98
0.00297979797979798,0.5444444444444445,2.5,40.03836244259881,0.98
0.00297979797979798,0.5444444444444445,3.0,48.04603493111857,0.98
0.00297979797979798,0.5444444444444445,3.5,56.05370741963833,0.98
0.00297979797979798,0.6333333333333333,2.0,34.785129593256,0.98
0.00297979797979798,0.6333333333333333,2.5,43.48141199157,0.98
0.00297979797979798,0.6333333333333333,3.0,52.177694389883996,0.98
0.00297979797979798,0.6333333333333333,3.5,60.87397678819799,0.98
0.00297979797979798,0.7222222222222222,2.0,38.0578690586923,0.98
0.00297979797979798,0.7222222222222222,2.5,47.57233632336537,0.98
0.00297979797979798,0.7222222222222222,3.0,57.08680358803844,0.98
0.00297979797979798,0.7222222222222222,3.5,66.60127085271152,0.98
0.00297979797979798,0.8111111111111111,2.0,42.01039343191751,0.98
0.00297979797979798,0.8111111111111111,2.5,52.51299178989688,0.98
0.00297979797979798,0.8111111111111111,3.0,63.01559014787625,0.98
0.00297979797979798,0.8111111111111111,3.5,73.51818850585563,0.98
0.00297979797979798,0.9,2.0,46.87904687904688,0.98
0.00297979797979798,0.9,2.5,58.5988085988086,0.98
0.00297979797979798,0.9,3.0,70.31857031857032,0.98
0.00297979797979798,0.9,3.5,82.03833203833204,0.98
0.003474747474747475,0.1,2.0,26.757255602182216,0.98
0.003474747474747475,0.1,2.5,33.44656950272777,0.98
0.003474747474747475,0.1,3.0,40.135883403273326,0.98
0.003474747474747475,0.1,3.5,46.825197303818875,0.98
0.003474747474747475,0.18888888888888888,2.0,28.366351631780482,0.98
0.003474747474747475,0.18888888888888888,2.5,35.4579395397256,0.98
0.003474747474747475,0.18888888888888888,3.0,42.54952744767073,0.98
0.003474747474747475,0.18888888888888888,3.5,49.641115355615845,0.98
0.003474747474747475,0.2777777777777778,2.0,30.181362533597998,0.98
0.003474747474747475,0.2777777777777778,2.5,37.726703166997495,0.98
0.003474747474747475,0.2777777777777778,3.0,45.272043800397,0.98
0.003474747474747475,0.2777777777777778,3.5,52.8173844337965,0.98
0.003474747474747475,0.3666666666666667,2.0,32.24451642805911,0.98
0.003474747474747475,0.3666666666666667,2.5,40.305645535073886,0.98
0.003474747474747475,0.3666666666666667,3.0,48.366774642088664,0.98
0.003474747474747475,0.3666666666666667,3.5,56.42790374910344,0.98
0.003474747474747475,0.4555555555555556,2.0,34.61043527080398,0.98
0.003474747474747475,0.4555555555555556,2.5,43.263044088504984,0.98
0.003474747474747475,0.4555555555555556,3.0,51.915652906205985,0.98
0.003474747474747475,0.4555555555555556,3.5,60.56826172390698,0.98
