Thickness_m,Fiber_Curvature,Air_Velocity_ms,Pressure_Drop_Pa,Efficiency_Percentage,Safety_Status,Pleated_Pressure_Pa,score_eff,score_thin,score_safety,Hero_Score
0.011,0.4,2.5,43.386644860001766,97.99529141759892,PASS,14.462214953333921,0.15472418608700064,0.8124999746093757,0.7299130237234979,0.5657123948066247
0.011,0.5,2.5,46.629704515945264,97.99893610239114,PASS,15.543234838648422,0.4090756169169786,0.8124999746093757,0.6987840981104173,0.6401198965455905
0.011,0.6,2.5,51.3286489289796,98.00306171319748,FAIL,17.109549642993198,0.6969894068502442,0.8124999746093757,0.6536806752284876,0.7210566855627025
0.011,0.7000000000000001,2.5,57.337562253809,98.00626011670224,FAIL,19.112520751269667,0.9201962283406159,0.8124999746093757,0.596003347103716,0.7762331833512359
0.011,0.8,2.5,64.13283567743453,98.00648019635476,FAIL,21.377611892478175,0.9355549157735887,0.8124999746093757,0.530778040336104,0.7596109769063562
0.011,0.9,2.5,71.86559437352119,98.00013878333397,FAIL,23.955198124507064,0.49300705024487557,0.8124999746093757,0.4565541604906523,0.5873537284483011
0.012,0.1,2.5,38.35450470081399,97.9993821644173,PASS,12.78483490027133,0.4402049246788108,0.7812499755859382,0.778214668869886,0.6665565230448783
0.012,0.2,2.5,41.26928428788216,97.9949306001592,PASS,13.75642809596072,0.1295438379101439,0.7812499755859382,0.7502367817600748,0.5536768650853857
0.012,0.3,2.5,44.508563498218805,97.99353281136943,PASS,14.836187832739602,0.031996423266136845,0.7812499755859382,0.7191441432408393,0.5107968473643049
0.012,0.4,2.5,47.42152527880789,97.995858660377,PASS,15.807175092935964,0.1943103287732893,0.7812499755859382,0.6911837045805388,0.5555813363132555
0.012,0.5,2.5,50.97123005821349,97.99983969879156,FAIL,16.990410019404496,0.4721348526100501,0.7812499755859382,0.6571114062729809,0.6368320781563231
0.012,0.6,2.5,56.05515079306409,98.0036032932501,FAIL,18.685050264354697,0.73478462622969,0.7812499755859382,0.6083127386049575,0.7081157801401953
